Harbour	Weddell	Bladdernose
49.69	55.41	56.19
51.02	40.08	48.36
41.57	46.29	37.77
45.57	29.83	42.75
39.38	52.5	27.01
43.06	37.37	43.1
55.68	42.81	42.38
66.08	51.35	29.86
56.01	48.51	42.26
47.04	44.02	58.14
51.48	58	32.23
50.88	45.42	38.39
53.37	37.11	52.57
35.27	39.27	53.92
45.25	45.15	42.3
38.35	51.14	46.41
50.47	38.13	44.57
49.38	36.48	48.97
41.64	49.42	40.17
41.48	61.95	41.37
45.79	45.74	38.65
48.08	56.97	35.1
57.29	42.65	48.23
61.16	40.03	33.17
48.84	31.92	38.42
62.21	42.74	26.01
37.99	46.02	50.01
40.57	39.02	42.63
67.26	50.06	46.97
48.45	34.42	41.57
